,SoldPr,Type,Zip,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces,houseEra
4333,527875.0,SFH,60202,1600,10,1,1,Yes,3.0,0,1.0,Pre1900
6247,296373.7611328124,Condo,60077,1597,5,2,0,No,2.0,0,1.0,20A
9345,167994.9375,Condo,60025,1300,5,2,0,No,2.0,0,1.0,19A
9191,420144.9375,SFH,60076,1292,9,2,0,Yes,3.0,1,1.0,19A
8754,102304.60937499996,Condo,60076,900,4,1,0,No,1.0,0,0.0,19A
3608,254200.0,SFH,60076,994,6,1,0,No,2.0,0,0.0,19A
3264,473831.8749999998,SFH,60076,1783,9,2,1,No,4.0,0,1.0,19A
4362,383478.125,SFH,60062,2063,8,2,0,No,3.0,0,2.5,19A
5904,425503.125,SFH,60025,1625,6,2,0,No,3.0,0,1.0,19A
7705,198337.5,Condo,60077,1100,5,2,0,No,2.0,0,0.0,19B
6288,148625.0,Condo,60062,1200,5,1,0,No,1.0,0,2.0,19A
1349,371527.2656249999,SFH,60076,2000,11,3,0,Yes,4.0,0,2.5,19A
233,241643.75,SFH,60053,1367,6,2,0,Yes,3.0,0,2.0,19A
9064,777462.4999999999,SFH,60077,5200,13,6,1,Yes,5.0,1,2.0,20A
8292,1012187.5,SFH,60062,4740,14,3,2,Yes,4.0,1,3.0,19A
5249,469120.4785156248,SFH,60076,2454,9,2,0,No,5.0,0,2.0,19B
7903,260350.0,SFH,60053,999,6,1,0,No,3.0,0,1.0,19A
4133,883049.208687109,SFH,60062,3106,9,2,1,No,4.0,0,2.0,19A
238,97375.0,SFH,60002,1095,6,1,0,No,2.0,0,0.0,19A
2769,446909.6093749999,SFH,60062,1629,7,2,1,No,3.0,0,2.0,19A
2989,225884.375,SFH,60002,1704,8,2,1,No,4.0,0,2.0,19A
6912,384375.0,SFH,60053,2106,8,2,0,Yes,3.0,0,2.0,19A
1843,242412.5,Condo,60202,950,5,1,0,No,2.0,0,0.0,19B
2653,162846.875,Condo,60062,1160,5,2,0,No,2.0,0,1.0,19A
4874,273162.5,Condo,60076,1990,6,2,0,No,2.0,0,1.0,19A
2744,1234484.375,SFH,60062,4582,12,4,2,Yes,4.0,1,2.0,19A
5254,229087.5,Townhouse,60203,1088,5,1,1,No,2.0,0,0.0,19A
4013,304681.25,SFH,60077,1878,5,3,0,Yes,3.0,0,3.0,19B
4041,353624.99999999994,Townhouse,60062,2242,8,2,1,No,3.0,1,2.0,19A
5304,220375.0,Townhouse,60062,1265,5,2,0,No,2.0,0,2.0,19A
6340,163897.5,SFH,60002,1056,8,2,0,Yes,4.0,0,0.0,19A
6049,379250.0,SFH,60053,2509,8,2,1,No,3.0,0,2.0,19A
5339,634692.4121093748,SFH,60076,3700,8,2,1,No,3.0,0,2.5,19A
